alpha,rmse_mph,mae_mph,r2
0,1.5442,1.0121,0.3525
0.01,1.5442,1.0121,0.3525
0.1,1.5442,1.0121,0.3525
1,1.5442,1.0121,0.3525
10,1.544,1.012,0.3527
100,1.543,1.0114,0.3535
1000,1.5446,1.0068,0.3521
