file,slope_bin,elevation_bin,slope_angle_deg,midpoint_elevation_ft,rise_ft
BlackButte2024-09-07.gpx,0-10,8000-9500,0.999,8613,-2.29
BlackButte2024-09-07.gpx,0-10,8000-9500,0.009,8612,-0.02
BlackButte2024-09-07.gpx,0-10,8000-9500,0.024,8612,-0.06
BlackButte2024-09-07.gpx,0-10,8000-9500,1.399,8611,-3.2
BlackButte2024-09-07.gpx,0-10,8000-9500,5.282,8603,-12.13
BlackButte2024-09-07.gpx,0-10,8000-9500,4.839,8591,-11.11
BlackButte2024-09-07.gpx,0-10,8000-9500,5.277,8580,-12.12
BlackButte2024-09-07.gpx,0-10,8000-9500,0.317,8573,-0.73
BlackButte2024-09-07.gpx,0-10,8000-9500,1.376,8574,3.15
BlackButte2024-09-07.gpx,0-10,8000-9500,3.253,8580,7.46
BlackButte2024-09-07.gpx,0-10,8000-9500,2.421,8586,5.55
BlackButte2024-09-07.gpx,0-10,8000-9500,3.925,8593,9.01
BlackButte2024-09-07.gpx,0-10,8000-9500,0.472,8599,1.08
BlackButte2024-09-07.gpx,0-10,8000-9500,1.48,8597,-3.39
BlackButte2024-09-07.gpx,0-10,8000-9500,3.858,8591,-8.85
BlackButte2024-09-07.gpx,0-10,8000-9500,0.152,8587,0.35
BradleyMountain2019-06-13.gpx,0-10,5000-6500,7.125,5979,16.4
BradleyMountain2019-06-13.gpx,0-10,5000-6500,2.862,5991,6.56
BradleyMountain2019-06-13.gpx,0-10,5000-6500,4.607,5999,10.58
BradleyMountain2019-06-13.gpx,10-20,5000-6500,17.556,6025,41.52
BradleyMountain2019-06-13.gpx,20-30,5000-6500,20.467,6071,48.98
BradleyMountain2019-06-13.gpx,20-30,5000-6500,22.969,6123,55.62
BradleyMountain2019-06-13.gpx,20-30,5000-6500,23.083,6179,55.93
BradleyMountain2019-06-13.gpx,20-30,5000-6500,23.473,6235,56.99
BradleyMountain2019-06-13.gpx,20-30,5000-6500,23.694,6293,57.59
BradleyMountain2019-06-13.gpx,20-30,5000-6500,27.737,6356,69.01
BradleyMountain2019-06-13.gpx,20-30,5000-6500,21.399,6416,51.43
BradleyMountain2019-06-13.gpx,10-20,5000-6500,14.88,6459,34.87
BradleyMountain2019-06-13.gpx,10-20,5000-6500,17.092,6497,40.35
BradleyMountain2019-06-13.gpx,10-20,6500-8000,16.62,6537,39.17
BradleyMountain2019-06-13.gpx,10-20,6500-8000,15.212,6574,35.68
BradleyMountain2019-06-13.gpx,20-30,6500-8000,20.697,6617,49.58
BradleyMountain2019-06-13.gpx,10-20,6500-8000,16.215,6660,38.16
BradleyMountain2019-06-13.gpx,10-20,6500-8000,13.337,6695,31.11
BradleyMountain2019-06-13.gpx,10-20,6500-8000,12.783,6726,29.77
BradleyMountain2019-06-13.gpx,10-20,6500-8000,16.868,6760,39.79
BradleyMountain2019-06-13.gpx,10-20,6500-8000,12.961,6795,30.2
BradleyMountain2019-06-13.gpx,0-10,6500-8000,8.966,6821,20.71
BradleyMountain2019-06-13.gpx,10-20,6500-8000,11.879,6845,27.6
BradleyMountain2019-06-13.gpx,10-20,6500-8000,16.119,6878,37.93
BradleyMountain2019-06-13.gpx,0-10,6500-8000,9.577,6908,22.14
